school_id,nm_stp,cd_stp,nm_ilha,cd_ilhas,NM_Região,CD_Região,distritos,cd_distritos,nm_infra,nu_infra,nm_tipo,cd_tipo,nm_tipif,cd_tipif,NM_Duração,cd_dur,NM_Específico,cd_espec,nm_acesso,cd_aces,cdf_infra,var22,var23,school_label
1,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Alda Graça,1,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210110003,,,Jardim Alda Graça //  Água Grande
2,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Fernanda Margato,2,Pre Escolar,1,Escola Integrada (Pré/Básico),1,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210211003,,,Fernanda Margato //  Água Grande
3,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim 1º de Maio,3,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210310003,,,Jardim 1º de Maio //  Água Grande
4,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim de Água Porca,4,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210410003,,,Jardim de Água Porca //  Água Grande
5,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Porcelana,5,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210510003,,,Jardim Porcelana //  Água Grande
6,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim S. Marçal,6,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210610003,,,Jardim S. Marçal //  Água Grande
7,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Tartaruga,7,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210710003,,,Jardim Tartaruga //  Água Grande
8,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Mina Anzu,8,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210810003,,,Jardim Mina Anzu //  Água Grande
9,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Vigoço,9,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11210910003,,,Jardim Vigoço //  Água Grande
10,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Madres Canossianas,10,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Misto,2,11211010002,,,Jardim Madres Canossianas //  Água Grande
11,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Páscoa Carvalho,11,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11211110003,,,Jardim Páscoa Carvalho //  Água Grande
12,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim S. António,12,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11211210003,,,Jardim S. António //  Água Grande
13,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Jardim Santarém,13,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Público,3,11211310003,,,Jardim Santarém  //  Água Grande
14,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,BERÇÁRIO AMOR MATERNAL,14,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11211410001,,,BERÇÁRIO AMOR MATERNAL //  Água Grande
15,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,JARDIM ONG. AMIGOS DA SARA,15,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11211510001,,,JARDIM ONG. AMIGOS DA SARA //  Água Grande
16,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,JARDIM ARCO-IRIS,16,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11211610001,,,JARDIM ARCO-IRIS //  Água Grande
17,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,JARDIM TIA LUISA,17,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11211710001,,,JARDIM TIA LUISA //  Água Grande
18,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,BERÇARIO TIA BELA,18,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11211810001,,,BERÇARIO TIA BELA //  Água Grande
19,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,AISEC,19,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11211910001,,,AISEC //  Água Grande
20,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,BERÇARIO TIA ELSA,20,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11212010001,,,BERÇARIO TIA ELSA //  Água Grande
21,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,EXTERNATO PRINCEZINHA,21,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11212110001,,,EXTERNATO PRINCEZINHA //  Água Grande
22,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,OFICINA DE SONHO,22,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11212210001,,,OFICINA DE SONHO //  Água Grande
23,São Tomé e Principe,1,São Tomé,1,Centro  Este,2,Água Grande,1,Instituto S- E-de Mulundo-ARCAR,23,Pre Escolar,1,Escola Normal,0,Normal,0,Normal (Qd n tem geral nem CSPQ),0,Privado,1,11212310001,,,Instituto S- E-de Mulundo-ARCAR //  Água Grande
