school_id,province,municipality,commune,schoolcode,schoolname,schoollabel,school_label,codigo_novo
1,BENGO,BULA-ATUMBA,SEDE B. ATUMBA,291,Escola Primária nº 208,Escola Primária nº 208//BULA-ATUMBA//BENGO,Escola Primária nº 208//BULA-ATUMBA//BENGO//SEDE B. ATUMBA//BULA-ATUMBA,404010208
2,BENGO,BULA-ATUMBA,BULA-ATUMBA,288,Escola Primária N 203,Escola Primária N 203//BULA-ATUMBA//BENGO,Escola Primária N 203//BULA-ATUMBA//BENGO//BULA-ATUMBA//BULA-ATUMBA,404010203
3,BENGO,DANDE,SEDE CAXITO,337,Escola Primária nº 376,Escola Primária nº 376//DANDE//BENGO,Escola Primária nº 376//DANDE//BENGO//SEDE CAXITO//DANDE,401020376
4,BENGO,DANDE,BARRA DO DANDE,342,Escola Primária nº 362,Escola Primária nº 362//DANDE//BENGO,Escola Primária nº 362//DANDE//BENGO//BARRA DO DANDE//DANDE,401010362
5,BENGO,DANDE,QUICABO,381,Escola Primária nº 371,Escola Primária nº 371//DANDE//BENGO,Escola Primária nº 371//DANDE//BENGO//QUICABO//DANDE,401040371
6,BENGO,DEMBOS,SEDE QUIBAXE,392,Escola Primária nº 402,Escola Primária nº 402//DEMBOS//BENGO,Escola Primária nº 402//DEMBOS//BENGO//SEDE QUIBAXE//DEMBOS,402010402
7,BENGO,DEMBOS,SEDE QUIBAXE,402,Escola Primária nº 412,Escola Primária nº 412//DEMBOS//BENGO,Escola Primária nº 412//DEMBOS//BENGO//SEDE QUIBAXE//DEMBOS,402010412
8,BENGUELA,BAIA FARTA,SEDE,13182,Complexo Escolar Cdte Cow Boy,Complexo Escolar Cdte Cow Boy//BAIA FARTA//BENGUELA,Complexo Escolar Cdte Cow Boy//BAIA FARTA//BENGUELA//SEDE//BAIA FARTA,1408020008
9,BENGUELA,BAIA FARTA,SEDE,13205,Escola Primária 10 de Dezembro,Escola Primária 10 de Dezembro//BAIA FARTA//BENGUELA,Escola Primária 10 de Dezembro//BAIA FARTA//BENGUELA//SEDE//BAIA FARTA,1408020014
10,BENGUELA,BALOMBO,MAKA-MOMBOLO,16692,Complexo Escolar  Maka-Mombolo,Complexo Escolar  Maka-Mombolo//BALOMBO//BENGUELA,Complexo Escolar  Maka-Mombolo//BALOMBO//BENGUELA//MAKA-MOMBOLO//BALOMBO,1406040017
11,BENGUELA,BENGUELA,ZONA C,13142,Escola Primária Alda Lara,Escola Primária Alda Lara//BENGUELA//BENGUELA,Escola Primária Alda Lara//BENGUELA//BENGUELA//ZONA C//BENGUELA,1401003007
12,BENGUELA,BENGUELA,ZONA C,7049,Escola Primária do Cassôco,Escola Primária do Cassôco//BENGUELA//BENGUELA,Escola Primária do Cassôco//BENGUELA//BENGUELA//ZONA C//BENGUELA,1401003002
13,BENGUELA,BENGUELA,ZONA B,7960,Escola Primária do Mini  Uchi,Escola Primária do Mini  Uchi//BENGUELA//BENGUELA,Escola Primária do Mini  Uchi//BENGUELA//BENGUELA//ZONA B//BENGUELA,1401002001
14,BENGUELA,CAIMBAMBO,CANHAMELA,17017,Complexo Escolar de Chinguvi,Complexo Escolar de Chinguvi//CAIMBAMBO//BENGUELA,Complexo Escolar de Chinguvi//CAIMBAMBO//BENGUELA//CANHAMELA//CAIMBAMBO,1409040011
15,BENGUELA,CAIMBAMBO,CATENGUE,17043,Escola Primária de Comandante Boal,Escola Primária de Comandante Boal//CAIMBAMBO//BENGUELA,Escola Primária de Comandante Boal//CAIMBAMBO//BENGUELA//CATENGUE//CAIMBAMBO,1409020016
16,BENGUELA,CAIMBAMBO,WIYANGOMBE,20210,Escola Primária de 4 de Abril,Escola Primária de 4 de Abril//CAIMBAMBO//BENGUELA,Escola Primária de 4 de Abril//CAIMBAMBO//BENGUELA//WIYANGOMBE//CAIMBAMBO,1409050015
17,BENGUELA,CATUMBELA,GAMA,17105,Escola Primária da Gama,Escola Primária da Gama//CATUMBELA//BENGUELA,Escola Primária da Gama//CATUMBELA//BENGUELA//GAMA//CATUMBELA,1404030009
18,BENGUELA,CHONGOROI,SEDE,14773,Complexo Escolar Deolinda Rodrigues,Complexo Escolar Deolinda Rodrigues//CHONGOROI//BENGUELA,Complexo Escolar Deolinda Rodrigues//CHONGOROI//BENGUELA//SEDE//CHONGOROI,1410010002
19,BENGUELA,CHONGOROI,SEDE,17131,Escola Primária  de Cambandi II,Escola Primária  de Cambandi II//CHONGOROI//BENGUELA,Escola Primária  de Cambandi II//CHONGOROI//BENGUELA//SEDE//CHONGOROI,1410010038
20,BENGUELA,CHONGOROI,SEDE,17150,Escola Primária de Tchitata II,Escola Primária de Tchitata II//CHONGOROI//BENGUELA,Escola Primária de Tchitata II//CHONGOROI//BENGUELA//SEDE//CHONGOROI,1410010007
21,BENGUELA,CUBAL,SEDE,17244,Escola Primária Garcia Neto N.º 40,Escola Primária Garcia Neto N.º 40//CUBAL//BENGUELA,Escola Primária Garcia Neto N.º 40//CUBAL//BENGUELA//SEDE//CUBAL,1407020031
22,BENGUELA,CUBAL,SEDE,17265,Escola Primária e 1º Ciclo Cdte Cussi,Escola Primária e 1º Ciclo Cdte Cussi//CUBAL//BENGUELA,Escola Primária e 1º Ciclo Cdte Cussi//CUBAL//BENGUELA//SEDE//CUBAL,1407020001
23,BENGUELA,CUBAL,SEDE,17276,Escola Primária de Kamunda Quissolo,Escola Primária de Kamunda Quissolo//CUBAL//BENGUELA,Escola Primária de Kamunda Quissolo//CUBAL//BENGUELA//SEDE//CUBAL,1407020027
24,BENGUELA,CUBAL,SEDE,17279,Escola Primária de Cdte Kwenha,Escola Primária de Cdte Kwenha//CUBAL//BENGUELA,Escola Primária de Cdte Kwenha//CUBAL//BENGUELA//SEDE//CUBAL,1407020002
25,BENGUELA,CUBAL,YAMBALA,17340,Escola Primária de Vavayela,Escola Primária de Vavayela//CUBAL//BENGUELA,Escola Primária de Vavayela//CUBAL//BENGUELA//YAMBALA//CUBAL,1407040008
26,BENGUELA,CUBAL,SEDE,20143,Escola Primária de 4 de Abril,Escola Primária de 4 de Abril//CUBAL//BENGUELA,Escola Primária de 4 de Abril//CUBAL//BENGUELA//SEDE//CUBAL,1407020038
27,BENGUELA,GANDA,SEDE,17468,Escola Primária Deolinda Rodrigues,Escola Primária Deolinda Rodrigues//GANDA//BENGUELA,Escola Primária Deolinda Rodrigues//GANDA//BENGUELA//SEDE//GANDA,1402010065
28,BENGUELA,GANDA,SEDE,17502,Escola Primária de 22 de Novembro,Escola Primária de 22 de Novembro//GANDA//BENGUELA,Escola Primária de 22 de Novembro//GANDA//BENGUELA//SEDE//GANDA,1402010035
29,BENGUELA,GANDA,CHICUMA,17622,Escola Primária de Cangundo,Escola Primária de Cangundo//GANDA//BENGUELA,Escola Primária de Cangundo//GANDA//BENGUELA//CHICUMA//GANDA,1402030009
30,BENGUELA,LOBITO,SEDE,17690,Escola Primária  - 4 de Abril - Lobito,Escola Primária  - 4 de Abril - Lobito//LOBITO//BENGUELA,Escola Primária  - 4 de Abril - Lobito//LOBITO//BENGUELA//SEDE//LOBITO,1403020029
31,BENGUELA,LOBITO,SEDE,17695,Escola primária - 1º de Agosto - Lobito,Escola primária - 1º de Agosto - Lobito//LOBITO//BENGUELA,Escola primária - 1º de Agosto - Lobito//LOBITO//BENGUELA//SEDE//LOBITO,1403020045
32,BENGUELA,LOBITO,CANJALA,17744,Escola Primária Dr. António  A. Neto  da  Canjala,Escola Primária Dr. António  A. Neto  da  Canjala//LOBITO//BENGUELA,Escola Primária Dr. António  A. Neto  da  Canjala//LOBITO//BENGUELA//CANJALA//LOBITO,1403040001
33,BENGUELA,LOBITO,CANJALA,17750,Escola Primária -10 de Dezembro -canjala Lobito,Escola Primária -10 de Dezembro -canjala Lobito//LOBITO//BENGUELA,Escola Primária -10 de Dezembro -canjala Lobito//LOBITO//BENGUELA//CANJALA//LOBITO,1403040007
34,BIÉ,ANDULO,ANDULO-SEDE,27322,Escola Primária Povoação Cariongo,Escola Primária Povoação Cariongo//ANDULO//BIÉ,Escola Primária Povoação Cariongo//ANDULO//BIÉ//ANDULO-SEDE//ANDULO,1201010039
35,BIÉ,ANDULO,CHIVAULO,12347,Escola Primária de Chivaulo Sede,Escola Primária de Chivaulo Sede//ANDULO//BIÉ,Escola Primária de Chivaulo Sede//ANDULO//BIÉ//CHIVAULO//ANDULO,1201040003
36,BIÉ,ANDULO,CALUSSINGA,27042,Escola Primária de Chimbinda,Escola Primária de Chimbinda//ANDULO//BIÉ,Escola Primária de Chimbinda//ANDULO//BIÉ//CALUSSINGA//ANDULO,1201020008
37,BIÉ,ANDULO,CALUSSINGA,27170,Escola Primária de Tumba,Escola Primária de Tumba//ANDULO//BIÉ,Escola Primária de Tumba//ANDULO//BIÉ//CALUSSINGA//ANDULO,1201020009
38,BIÉ,ANDULO,CHIVAULO,27202,Escola Primária de Calinda,Escola Primária de Calinda//ANDULO//BIÉ,Escola Primária de Calinda//ANDULO//BIÉ//CHIVAULO//ANDULO,1201040017
39,BIÉ,ANDULO,CALUSSINGA,27045,Escola Primária de Essanjo N 93,Escola Primária de Essanjo N 93//ANDULO//BIÉ,Escola Primária de Essanjo N 93//ANDULO//BIÉ//CALUSSINGA//ANDULO,1201020005
40,BIÉ,CATABOLA,CATABOLA - SEDE,12740,Escola Primária de Chimbuio,Escola Primária de Chimbuio//CATABOLA//BIÉ,Escola Primária de Chimbuio//CATABOLA//BIÉ//CATABOLA - SEDE//CATABOLA,1206010040
41,BIÉ,CATABOLA,SANDE,12864,Escola Primária de Muquinda,Escola Primária de Muquinda//CATABOLA//BIÉ,Escola Primária de Muquinda//CATABOLA//BIÉ//SANDE//CATABOLA,1206110010
42,BIÉ,CATABOLA,MUQUINDA,12865,Escola Primária de Mussinda,Escola Primária de Mussinda//CATABOLA//BIÉ,Escola Primária de Mussinda//CATABOLA//BIÉ//MUQUINDA//CATABOLA,1206110001
43,BIÉ,CATABOLA,CHIUCA,14227,Escola Primária de Kapoco,Escola Primária de Kapoco//CATABOLA//BIÉ,Escola Primária de Kapoco//CATABOLA//BIÉ//CHIUCA//CATABOLA,1206040014
44,BIÉ,CHINGUAR,CANGOTE,13709,Escola Primária e do I  Ciclo de Cangala,Escola Primária e do I  Ciclo de Cangala//CHINGUAR//BIÉ,Escola Primária e do I  Ciclo de Cangala//CHINGUAR//BIÉ//CANGOTE//CHINGUAR,1205031021
45,BIÉ,CHITEMBO,CHITEMBO - SEDE,12420,Escola Primária de Cacuchi / Luzamba,Escola Primária de Cacuchi / Luzamba//CHITEMBO//BIÉ,Escola Primária de Cacuchi / Luzamba//CHITEMBO//BIÉ//CHITEMBO - SEDE//CHITEMBO,1202020022
46,BIÉ,CUEMBA,CUEMBA - SEDE,14519,Escola Primária nº 302 Kapango,Escola Primária nº 302 Kapango//CUEMBA//BIÉ,Escola Primária nº 302 Kapango//CUEMBA//BIÉ//CUEMBA - SEDE//CUEMBA,1208030302
47,BIÉ,CUITO (KUITO),CUNJE,27112,Escola Primária nº 274 - António da Fonseca,Escola Primária nº 274 - António da Fonseca//CUITO (KUITO)//BIÉ,Escola Primária nº 274 - António da Fonseca//CUITO (KUITO)//BIÉ//CUNJE//CUITO (KUITO),1203030274
48,BIÉ,CUITO (KUITO),CUITO - SEDE,27154,Escola Primária nº 1 - Cantíflas,Escola Primária nº 1 - Cantíflas//CUITO (KUITO)//BIÉ,Escola Primária nº 1 - Cantíflas//CUITO (KUITO)//BIÉ//CUITO - SEDE//CUITO (KUITO),1203010033
49,BIÉ,CUITO (KUITO),CUNJE,13639,"Esc. Primária ""Adriano Kapumba"" Nº 36","Esc. Primária ""Adriano Kapumba"" Nº 36//CUITO (KUITO)//BIÉ","Esc. Primária ""Adriano Kapumba"" Nº 36//CUITO (KUITO)//BIÉ//CUNJE//CUITO (KUITO)",1203030005
50,BIÉ,CUITO (KUITO),CUITO - SEDE,27152,Escola Primária nº 303 - Fernando Samuel Pequenino,Escola Primária nº 303 - Fernando Samuel Pequenino//CUITO (KUITO)//BIÉ,Escola Primária nº 303 - Fernando Samuel Pequenino//CUITO (KUITO)//BIÉ//CUITO - SEDE//CUITO (KUITO),1203010303
51,BIÉ,CUITO (KUITO),CHICALA,26877,Escola Primária N 124 Chambingue,Escola Primária N 124 Chambingue//CUITO (KUITO)//BIÉ,Escola Primária N 124 Chambingue//CUITO (KUITO)//BIÉ//CHICALA//CUITO (KUITO),1203020124
52,BIÉ,CUNHINGA,CUNHINGA - SEDE,27401,Escola Primária de Chitumalo Tunda Chivava,Escola Primária de Chitumalo Tunda Chivava//CUNHINGA//BIÉ,Escola Primária de Chitumalo Tunda Chivava//CUNHINGA//BIÉ//CUNHINGA - SEDE//CUNHINGA,1207010073
53,BIÉ,CUNHINGA,CUNHINGA - SEDE,27417,Escola Primária de Samala,Escola Primária de Samala//CUNHINGA//BIÉ,Escola Primária de Samala//CUNHINGA//BIÉ//CUNHINGA - SEDE//CUNHINGA,1207010021
54,BIÉ,CUNHINGA,CUNHINGA - SEDE,27344,Escola Primária de Ngumbe,Escola Primária de Ngumbe//CUNHINGA//BIÉ,Escola Primária de Ngumbe//CUNHINGA//BIÉ//CUNHINGA - SEDE//CUNHINGA,1207010013
55,BIÉ,NHARÊA,SEDE,25356,Escola Primária Missionária de E.M.I.E.I.A,Escola Primária Missionária de E.M.I.E.I.A//NHARÊA//BIÉ,Escola Primária Missionária de E.M.I.E.I.A//NHARÊA//BIÉ//SEDE//NHARÊA,1209010027
56,BIÉ,NHARÊA,SEDE,13027,Escola Primária de Bento Cahala,Escola Primária de Bento Cahala//NHARÊA//BIÉ,Escola Primária de Bento Cahala//NHARÊA//BIÉ//SEDE//NHARÊA,1209010031
57,BIÉ,NHARÊA,GAMBA,14640,Esc. Primária de Missão- Capango,Esc. Primária de Missão- Capango//NHARÊA//BIÉ,Esc. Primária de Missão- Capango//NHARÊA//BIÉ//GAMBA//NHARÊA,1209020004
58,CABINDA,BELIZE,BELIZE,25753,Escola Primária do Hombe de Baixo,Escola Primária do Hombe de Baixo//BELIZE//CABINDA,Escola Primária do Hombe de Baixo//BELIZE//CABINDA//BELIZE//BELIZE,104020008
59,CABINDA,BUCO ZAU,BUCO ZAU,25847,Escola Primária Cata Buangas,Escola Primária Cata Buangas//BUCO ZAU//CABINDA,Escola Primária Cata Buangas//BUCO ZAU//CABINDA//BUCO ZAU//BUCO ZAU,103010011
60,CABINDA,BUCO ZAU,BUCO ZAU,25849,Escola Primária Dizena,Escola Primária Dizena//BUCO ZAU//CABINDA,Escola Primária Dizena//BUCO ZAU//CABINDA//BUCO ZAU//BUCO ZAU,103010024
61,CABINDA,CABINDA,TANDO ZINZE,26008,Escola Primária Tando Zinze,Escola Primária Tando Zinze//CABINDA//CABINDA,Escola Primária Tando Zinze//CABINDA//CABINDA//TANDO ZINZE//CABINDA,101030007
62,CABINDA,CACONGO,CACONGO,25800,Escola Primária de Luvula,Escola Primária de Luvula//CACONGO//CABINDA,Escola Primária de Luvula//CACONGO//CABINDA//CACONGO//CACONGO,102010013
63,CABINDA,CACONGO,MASSABI,25827,Escola Primária do Ngomongo,Escola Primária do Ngomongo//CACONGO//CABINDA,Escola Primária do Ngomongo//CACONGO//CABINDA//MASSABI//CACONGO,102030004
64,CUANDO CUBANGO,CUANGAR,CUANGAR (SEDE),11856,Escola Primária Nº 06CCC2 do Candendele,Escola Primária Nº 06CCC2 do Candendele//CUANGAR//CUANDO CUBANGO,Escola Primária Nº 06CCC2 do Candendele//CUANGAR//CUANDO CUBANGO//CUANGAR (SEDE)//CUANGAR,1808030003
65,CUANDO CUBANGO,CUCHI,CUTATO,3621,Escola Primária Nº 06CCC3 do Malengue,Escola Primária Nº 06CCC3 do Malengue//CUCHI//CUANDO CUBANGO,Escola Primária Nº 06CCC3 do Malengue//CUCHI//CUANDO CUBANGO//CUTATO//CUCHI,1805020007
66,CUANDO CUBANGO,CUCHI,CUTATO,3610,Escola Primária N 10CCC3 17 de Setembro,Escola Primária N 10CCC3 17 de Setembro//CUCHI//CUANDO CUBANGO,Escola Primária N 10CCC3 17 de Setembro//CUCHI//CUANDO CUBANGO//CUTATO//CUCHI,1805020002
67,CUANDO CUBANGO,CUITO CUANAVALE (KUITO KUANAVALE),LUPIRI,12079,Escola Primária Nº 41CCC4 10 de Dezembro,Escola Primária Nº 41CCC4 10 de Dezembro//CUITO CUANAVALE (KUITO KUANAVALE)//CUANDO CUBANGO,Escola Primária Nº 41CCC4 10 de Dezembro//CUITO CUANAVALE (KUITO KUANAVALE)//CUANDO CUBANGO//LUPIRI//CUITO CUANAVALE (KUITO KUANAVALE),1804010001
